                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4645,                 3.5471,                 1.0994,                0.35829,                0.67429,                0.46836,                0.27584,                 1.4149,                 1.7766,                 1.0604,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.3494,                 1.8709,                 1.0881,                0.91136,                0.90632,                0.97326,                0.62357,                 1.2711,                0.86656,                 1.0326,              0.0065982,              0.0065982,              0.0065982
                      3,                  1.331,                 1.3475,                 1.0956,                0.97205,                0.96894,                0.99152,                0.70498,                 1.0711,                0.64682,                0.98414,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.3109,                 1.0751,                 1.1076,                 0.9895,                0.99136,                 0.9942,                 0.6876,                 1.1559,                0.56163,                 1.0167,               0.009703,               0.009703,               0.009703
                      5,                 1.2764,                0.86874,                 1.0971,                0.99443,                0.99323,                0.99478,                 0.7455,                0.95731,                0.46831,                0.94551,               0.009703,               0.009703,               0.009703
                      6,                 1.2584,                0.77894,                  1.087,                0.99583,                0.99641,                0.99481,                0.68864,                 1.1566,                0.46826,                 1.0075,               0.009604,               0.009604,               0.009604
                      7,                 1.2393,                0.72033,                 1.0776,                0.99655,                0.99723,                0.99481,                0.74085,                0.98758,                0.42027,                0.94891,               0.009505,               0.009505,               0.009505
                      8,                 1.2298,                0.69078,                 1.0749,                 0.9976,                0.99829,                  0.995,                0.75619,                0.95695,                0.39934,                0.93887,               0.009406,               0.009406,               0.009406
                      9,                 1.2225,                0.66763,                 1.0683,                0.99799,                 0.9989,                  0.995,                0.77216,                0.89894,                0.38293,                 0.9207,               0.009307,               0.009307,               0.009307
                     10,                 1.2125,                0.64704,                 1.0636,                0.99811,                0.99882,                0.99498,                0.77893,                0.88301,                0.36888,                0.91419,               0.009208,               0.009208,               0.009208
                     11,                 1.2069,                0.63455,                  1.061,                 0.9986,                0.99898,                  0.995,                0.75278,                0.98973,                 0.3752,                0.94472,               0.009109,               0.009109,               0.009109
                     12,                 1.2007,                0.62273,                 1.0563,                0.99883,                0.99967,                  0.995,                0.80635,                 0.7976,                0.34523,                0.88897,                0.00901,                0.00901,                0.00901
                     13,                 1.1915,                0.61129,                  1.053,                 0.9988,                0.99986,                  0.995,                0.79242,                0.85187,                0.34665,                0.90175,               0.008911,               0.008911,               0.008911
                     14,                  1.195,                0.60647,                  1.052,                0.99911,                 0.9998,                  0.995,                0.79279,                0.84849,                0.34467,                0.90208,               0.008812,               0.008812,               0.008812
                     15,                 1.1859,                0.59282,                 1.0503,                0.99902,                0.99957,                  0.995,                0.79197,                0.85307,                0.33874,                0.90389,               0.008713,               0.008713,               0.008713
                     16,                 1.1847,                0.58845,                  1.049,                 0.9992,                0.99957,                  0.995,                0.80614,                0.80932,                0.33062,                0.89073,               0.008614,               0.008614,               0.008614
                     17,                 1.1764,                0.58213,                 1.0461,                0.99916,                0.99982,                  0.995,                0.81532,                0.78213,                0.32623,                0.88143,               0.008515,               0.008515,               0.008515
                     18,                 1.1775,                0.57722,                  1.045,                0.99919,                 0.9999,                  0.995,                0.81557,                0.78556,                0.32296,                0.88112,               0.008416,               0.008416,               0.008416
                     19,                 1.1725,                0.56802,                 1.0439,                 0.9991,                0.99973,                  0.995,                0.81109,                0.79284,                0.32115,                 0.8815,               0.008317,               0.008317,               0.008317
                     20,                 1.1649,                0.56179,                 1.0378,                0.99919,                      1,                  0.995,                0.80926,                0.81265,                   0.32,                0.88664,               0.008218,               0.008218,               0.008218
                     21,                 1.1657,                0.56336,                 1.0415,                 0.9993,                0.99984,                  0.995,                0.81892,                 0.7822,                0.31323,                0.88125,               0.008119,               0.008119,               0.008119
                     22,                 1.1574,                0.55567,                 1.0359,                0.99914,                0.99997,                  0.995,                0.82002,                0.77622,                0.31197,                0.87674,                0.00802,                0.00802,                0.00802
                     23,                 1.1538,                0.55097,                 1.0355,                0.99934,                      1,                  0.995,                0.82935,                 0.7451,                0.30494,                0.86867,               0.007921,               0.007921,               0.007921
                     24,                 1.1521,                0.54727,                  1.035,                0.99939,                0.99989,                  0.995,                 0.8352,                0.73543,                0.30013,                0.86508,               0.007822,               0.007822,               0.007822
                     25,                  1.144,                0.54363,                 1.0311,                0.99929,                0.99995,                  0.995,                0.82676,                0.76373,                0.30289,                0.87193,               0.007723,               0.007723,               0.007723
                     26,                 1.1335,                0.53971,                  1.026,                0.99929,                0.99993,                  0.995,                0.83192,                0.74688,                 0.2988,                0.86531,               0.007624,               0.007624,               0.007624
