                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7306,                 4.9732,                 1.6123,                      0,                      0,                      0,                      0,                 2.6598,                 6.2538,                 3.6105,               3.58e-06,               3.58e-06,               3.58e-06
                      2,                 1.7806,                 4.9173,                 1.6413,                      0,                      0,                      0,                      0,                 2.5896,                 6.1022,                  3.603,             8.8614e-06,             8.8614e-06,             8.8614e-06
                      3,                 1.6193,                 4.8363,                 1.6088,                      0,                      0,                      0,                      0,                 2.2827,                 5.8299,                 3.3024,             1.4036e-05,             1.4036e-05,             1.4036e-05
                      4,                 1.7171,                 5.0362,                 1.5916,                      0,                      0,                      0,                      0,                 1.7999,                 5.6155,                 3.0258,             1.9105e-05,             1.9105e-05,             1.9105e-05
                      5,                 1.4801,                 4.8539,                 1.5005,                      0,                      0,                      0,                      0,                 1.3714,                 5.4719,                 2.7251,             2.4068e-05,             2.4068e-05,             2.4068e-05
                      6,                 1.2865,                  4.736,                  1.413,                      0,                      0,                      0,                      0,                 1.1946,                 5.4258,                 2.4527,             2.8924e-05,             2.8924e-05,             2.8924e-05
                      7,                 1.3373,                 4.8601,                 1.4184,                      0,                      0,                      0,                      0,                 1.0804,                 5.4284,                 2.2646,             3.3673e-05,             3.3673e-05,             3.3673e-05
                      8,                 1.3134,                 4.8357,                 1.3664,                      0,                      0,                      0,                      0,                 1.0347,                 5.4135,                 2.1657,             3.8317e-05,             3.8317e-05,             3.8317e-05
                      9,                 1.1447,                 4.7914,                 1.2445,                      0,                      0,                      0,                      0,                0.94932,                 5.3093,                 2.0399,             4.2854e-05,             4.2854e-05,             4.2854e-05
                     10,                0.85041,                 4.6259,                 1.2053,                      0,                      0,                      0,                      0,                0.91932,                  5.286,                  1.996,             4.7285e-05,             4.7285e-05,             4.7285e-05
                     11,                0.95956,                 4.6363,                 1.1743,                      0,                      0,                      0,                      0,                0.79406,                 5.3271,                 1.8838,             5.1609e-05,             5.1609e-05,             5.1609e-05
                     12,                0.91012,                 4.5084,                 1.1904,                      0,                      0,                      0,                      0,                0.77913,                 5.2869,                 1.8889,             5.5827e-05,             5.5827e-05,             5.5827e-05
                     13,                0.93457,                 4.6429,                 1.2035,                      0,                      0,                      0,                      0,                0.75782,                 5.2631,                 1.8687,             5.9939e-05,             5.9939e-05,             5.9939e-05
                     14,                0.98154,                 4.5706,                 1.1783,                      0,                      0,                      0,                      0,                0.75606,                 5.2752,                 1.7791,             6.3945e-05,             6.3945e-05,             6.3945e-05
